trials,full_sentence,last_word,meaningful,CoRT_descript,cloze_descript,block_num,spelling_modified,display,cloze_probability,original_dataset,CoRT_mean,CoRT_std,word_count,condition_name
18,Andy|reached|the|curb|and|told|the|dog|to,sit,TRUE,strong CoRT,low cloze,3,no,trial,0.42,peele,4,1.414213562,9,hard
19,Mary|agreed|that|a|popsicle|would|be|the|right,treat,TRUE,strong non-CoRT,low cloze,3,no,trial,0.41,peele,2,1,9,hard
20,The|evil|witch|eyed|the|young|princess|with|a,glare,TRUE,strong CoRT,low cloze,3,no,trial,0.31,peele,4.4,0.894427191,9,hard
21,"To|relax|herself,|she|liked|to|listen|to|smooth",jazz,TRUE,strong non-CoRT,low cloze,3,no,trial,0.47,block_baldwin,1.833333333,0.4082482905,9,hard
22,"To|prevent|football|injury,|all|players|must|wear|shoulder",cry,FALSE,strong non-CoRT,high cloze,3,no,trial,0.96,block_baldwin,1.571428571,0.9759000729,9,easy
23,To|cook|a|meal|you|will|surely|need|a,skin,FALSE,strong non-CoRT,low cloze,3,no,trial,0.44,peele,1.75,0.9574271078,9,hard
24,The|cop|entered|the|building|and|showed|his,fin,FALSE,strong CoRT,high cloze,3,no,trial,0.92,peele,4.25,0.5,8,easy
25,"During|the|hike,|Lila's|feet|hurt|more|with|each",step,TRUE,strong CoRT,high cloze,3,no,trial,0.98,peele,4,1,9,easy
26,The|villagers|lived|their|lives|as|simple,people,TRUE,strong non-CoRT,low cloze,3,no,trial,0.4,peele,2,1,7,hard
27,"Angry|at|the|late|employee,|Brandon|began|to",lawn,FALSE,strong CoRT,low cloze,3,no,trial,0.5,peele,4.166666667,1.329160136,8,hard
28,"At|the|show,|all|the|animals|jumped|through|a",hoop,TRUE,strong CoRT,high cloze,3,no,trial,0.94,peele,4.2,0.8366600265,9,easy
29,The|beautiful|woman|in|the|story|turned|into|a,womb,FALSE,strong CoRT,low cloze,3,no,trial,0.44,peele,4,1.264911064,9,hard
30,Greta|quickly|woke|after|Jess|gave|her|a|painful,pinch,TRUE,strong CoRT,low cloze,3,no,trial,0.39,peele,4.5,0.5773502692,9,hard
31,"Out|of|habit,|the|family|always|ate|dinner|at",wrong,FALSE,strong non-CoRT,low cloze,3,no,trial,0.43,peele,2,1.414213562,9,hard
32,The|toddler|jumped|but|the|jar|was|out|of,reach,TRUE,strong CoRT,high cloze,3,no,trial,0.82,peele,4.6,0.5477225575,9,easy
33,A|large|stone|blocked|the|entrance|to|the,cave,TRUE,strong non-CoRT,low cloze,3,no,trial,0.36,block_baldwin,1.666666667,1.032795559,8,hard
34,"As|Jill|felt|the|sharp|pain,|she|began|to",cry,TRUE,strong CoRT,low cloze,3,no,trial,0.46,peele,4.6,0.5477225575,9,hard
35,He|turned|the|page|of|his|favorite,ghost,FALSE,strong CoRT,high cloze,3,no,trial,0.9,block_baldwin,4,1.527525232,7,easy
36,He|knew|about|the|prank|they|were|trying|to,pull,TRUE,strong non-CoRT,high cloze,3,no,trial,0.8,peele,1.4,0.5477225575,9,easy
37,Jenny|was|creative|and|loved|to|study,art,TRUE,strong non-CoRT,high cloze,3,no,trial,0.82,block_baldwin,1.571428571,0.7867957925,7,easy
38,The|landlord|did|not|like|when|the|rent|was,pin,FALSE,strong non-CoRT,high cloze,3,no,trial,0.8,block_baldwin,2,1.414213562,9,easy
39,An|ulcer|on|the|skin|is|a|painful,sore,TRUE,strong non-CoRT,low cloze,3,no,trial,0.41,peele,1.8,1.095445115,8,hard
40,"While|his|parents|vacationed,|the|kid|threw|a|huge",fur,FALSE,strong CoRT,high cloze,3,no,trial,0.84,peele,4,0.8164965809,9,easy
41,Eric|was|worried|that|his|car|didn't|have|enough,gas,TRUE,strong non-CoRT,high cloze,3,no,trial,0.86,peele,1.6,0.894427191,9,easy
42,The|little|girl|tripped|and|immediately|began|to,cry,TRUE,strong CoRT,high cloze,3,no,trial,0.9,peele,4.5,0.8366600265,8,easy
43,Claire|claimed|motherhood|was|the|hardest|job|she|ever,had,TRUE,strong non-CoRT,high cloze,3,no,trial,0.82,peele,1.6,0.894427191,9,easy
44,The|candles|smelled|even|better|when|they|were,wine,FALSE,strong non-CoRT,high cloze,3,no,trial,0.87,block_baldwin,1.714285714,0.4879500365,8,easy
45,Jan|dropped|the|lightbulb|and|it|cracked|near|the,down,FALSE,strong CoRT,low cloze,3,no,trial,0.47,peele,4,0,9,hard
46,"Before|leaving|for|the|party,|Kim|dabbed|on|some",perfume,TRUE,strong CoRT,low cloze,3,no,trial,0.49,peele,4.2,0.8366600265,9,hard
47,There|was|nothing|to|do|once|the|fuse|was,lit,TRUE,strong non-CoRT,low cloze,3,no,trial,0.39,peele,1.8,1.095445115,9,hard
48,At|last|the|time|for|action|had,come,TRUE,strong non-CoRT,high cloze,3,no,trial,0.84,block_baldwin,2,1.154700538,7,easy
49,"While|preparing|the|meal,|the|chef|couldn't|find|his",swim,FALSE,strong CoRT,low cloze,3,no,trial,0.41,peele,4,0.7071067812,9,hard
50,She|adores|rain|but|doesn't|at|all|like,snow,TRUE,strong non-CoRT,low cloze,3,no,trial,0.42,peele,1.75,0.5,8,hard
51,The|tranquil|park|atmosphere|was|disturbed|by|the|honking,horn,TRUE,strong CoRT,low cloze,3,no,trial,0.36,peele,4.5,1,9,hard
52,The|dessert|was|so|good|it|was|hard|to,resist,TRUE,strong non-CoRT,low cloze,3,no,trial,0.41,peele,2,0.7071067812,9,hard
53,Charles|knew|that|the|woman|was|out|of|his,league,TRUE,strong non-CoRT,high cloze,3,no,trial,0.82,peele,1.25,0.5,9,easy
54,I|roasted|the|marshmallow|over|the,fire,TRUE,strong CoRT,high cloze,3,no,trial,0.89,block_baldwin,4.142857143,1.463850109,6,easy
55,His|worst|fear|was|that|the|spectators|would,boo,TRUE,strong non-CoRT,low cloze,3,no,trial,0.36,peele,1.2,0.4472135955,8,hard
56,"After|swallowing|too|quickly,|Simon|began|to",choke,TRUE,strong CoRT,high cloze,3,no,trial,0.82,peele,4,1.224744871,7,easy
57,"After|returning|to|his|bedroom,|the|monk|removed|his",robe,TRUE,strong CoRT,low cloze,3,no,trial,0.5,peele,4.8,0.4472135955,9,hard
58,Their|water|source|on|the|farm|was|the|old,well,TRUE,strong non-CoRT,high cloze,3,no,trial,0.89,peele,1.2,0.4472135955,9,easy
59,Karen|realized|she|had|stepped|in|a|pile|of,poop,TRUE,strong CoRT,low cloze,3,no,trial,0.49,peele,4.6,0.5477225575,9,hard
60,The|accountant|ironed|a|shirt|before|going|to,work,TRUE,strong CoRT,high cloze,3,no,trial,0.9,block_baldwin,4,1.414213562,8,easy
61,The|lecture|should|last|about|one,hour,TRUE,strong non-CoRT,high cloze,3,no,trial,0.91,block_baldwin,1,0,6,easy
62,Katie|put|the|flowers|in|an|expensive,vase,TRUE,strong CoRT,high cloze,3,no,trial,0.93,block_baldwin,4,1.414213562,7,easy
63,The|fluffy|white|clouds|are|high|up|in|the,sky,TRUE,strong non-CoRT,high cloze,3,no,trial,0.93,block_baldwin,1.571428571,1.133893419,9,easy
64,,,,,,,,break,,,,,,
0,"Married|to|a|duchess,|Max|earned|the|title|of",pack,FALSE,strong non-CoRT,high cloze,4,no,trial,0.88,peele,1.6,0.5477225575,9,easy
1,He|turned|to|see|the|dog|charging|like|a,pad,FALSE,strong CoRT,high cloze,4,no,trial,0.83,peele,4.4,0.5477225575,9,easy
2,The|car|was|similar|but|it|was|a|different,model,TRUE,strong non-CoRT,low cloze,4,no,trial,0.4,peele,1.4,0.894427191,9,hard
3,"Even|in|the|most|trying|times,|she|kept|her",cool,TRUE,strong non-CoRT,low cloze,4,yes,trial,0.5,peele,2,1.224744871,9,hard
4,The|boat|sailed|faster|after|tightly|pulling|in|the,sail,TRUE,strong CoRT,low cloze,4,no,trial,0.5,peele,4.75,0.5,9,hard
5,The|woman|said|she|had|finally|found,tip,FALSE,strong non-CoRT,low cloze,4,no,trial,0.36,peele,2,0.7071067812,7,hard
6,Kelly|believed|that|everything|was|determined|by,fate,TRUE,strong non-CoRT,high cloze,4,no,trial,0.83,peele,1.75,0.9574271078,7,easy
7,The|rowdy|player|was|ejected|after|a|nasty,village,FALSE,strong CoRT,low cloze,4,no,trial,0.46,peele,4,0,8,hard
8,Alexis|was|embarrassed|by|her|child's|behavior|in,cool,FALSE,strong non-CoRT,low cloze,4,no,trial,0.36,peele,1.6,0.894427191,8,hard
9,Success|is|often|just|a|matter|of|hard,fake,FALSE,strong non-CoRT,high cloze,4,yes,trial,0.93,block_baldwin,1.428571429,1.133893419,8,easy
10,The|fisherman|easily|put|the|bait|on|the,hook,TRUE,strong CoRT,high cloze,4,no,trial,0.93,peele,4.4,0.5477225575,8,easy
11,"While|trying|to|lift|the|box,|Jeffrey|pulled|his",back,TRUE,strong CoRT,low cloze,4,no,trial,0.39,peele,4.4,0.894427191,9,hard
12,I|would|drive|but|my|car|is|low|on,gas,TRUE,strong non-CoRT,high cloze,4,no,trial,0.9,block_baldwin,1.857142857,0.6900655593,9,easy
13,"As|he|left,|the|insulted|man|made|a",gesture,TRUE,strong CoRT,low cloze,4,no,trial,0.4,peele,4.8,0.4472135955,8,hard
14,The|impatient|man|kept|glancing|at|his,run,FALSE,strong CoRT,high cloze,4,no,trial,0.94,peele,4,0.8164965809,7,easy
15,The|gentleman|on|the|bus|offered|the|child|his,seat,TRUE,strong CoRT,high cloze,4,no,trial,0.9,peele,4.25,0.9574271078,9,easy
16,"Soon|after|Janice|stepped|on|the|wet|floor,|she",slipped,TRUE,strong CoRT,high cloze,4,no,trial,0.82,peele,4.6,0.5477225575,9,easy
17,Grace|didn't|like|eating|foods|with|a|lot|of,race,FALSE,strong non-CoRT,low cloze,4,no,trial,0.39,peele,1.4,0.5477225575,9,hard
18,Stacy|was|not|careful|and|spilled|wine|on|her,dress,TRUE,strong CoRT,low cloze,4,no,trial,0.44,peele,4,1.414213562,9,hard
19,The|chef|wanted|his|steaks|to|have|a|good,flavor,TRUE,strong non-CoRT,low cloze,4,no,trial,0.38,peele,2,1.414213562,9,hard
20,The|strong|landscaper|removed|the|tree|root|with|one,pull,TRUE,strong CoRT,low cloze,4,yes,trial,0.41,peele,4.2,1.303840481,9,hard
21,"When|it's|warm|out,|Jack|likes|going|to|the",beach,TRUE,strong non-CoRT,low cloze,4,no,trial,0.42,peele,1.6,0.894427191,9,hard
22,"The|mother|was|against|swearing,|calling|it|a",pill,FALSE,strong non-CoRT,high cloze,4,no,trial,0.85,peele,2,0.8164965809,8,easy
23,Winston's|prized|chess|set|was|missing|a,meal,FALSE,strong non-CoRT,low cloze,4,no,trial,0.43,peele,1.6,0.5477225575,7,hard
24,The|thief|ran|away|after|taking|the|woman's,hire,FALSE,strong CoRT,high cloze,4,no,trial,0.9,peele,4.75,0.5,8,easy
25,Jane|fried|some|bacon|in|the,pan,TRUE,strong CoRT,high cloze,4,no,trial,0.86,block_baldwin,4.142857143,1.463850109,6,easy
26,It|is|difficult|for|any|large|business|to,succeed,TRUE,strong non-CoRT,low cloze,4,no,trial,0.33,peele,1.6,1.341640786,8,hard
27,The|car|suddenly|appeared|and|Liz|wasn't|able|to,suit,FALSE,strong CoRT,low cloze,4,no,trial,0.35,peele,4.333333333,0.5163977795,9,hard
28,The|girls|drew|beautiful|designs|on|the|street|with,chalk,TRUE,strong CoRT,high cloze,4,yes,trial,0.83,peele,4,1.414213562,9,easy
29,Jill|cried|and|said|her|life|had|become|a,class,FALSE,strong CoRT,low cloze,4,no,trial,0.4,peele,4,0.7071067812,9,hard
30,The|cargo|at|the|shipyard|fell|with|a|loud,bang,TRUE,strong CoRT,low cloze,4,no,trial,0.33,peele,4,0,9,hard
31,The|gym|class|knew|the|rope|would|be|a,bottle,FALSE,strong non-CoRT,low cloze,4,no,trial,0.26,block_baldwin,1.166666667,0.4082482905,9,hard
32,Jan|tried|to|squeeze|in|but|there|was|no,room,TRUE,strong CoRT,high cloze,4,no,trial,0.85,block_baldwin,4.142857143,0.6900655593,9,easy
33,Her|baby|was|not|ready|to|leave|the,crib,TRUE,strong non-CoRT,low cloze,4,no,trial,0.32,peele,1.75,0.9574271078,8,hard
34,The|pirates|escaped|with|a|large|bag|of,gold,TRUE,strong CoRT,low cloze,4,no,trial,0.44,peele,4.75,0.5,8,hard
35,When|Colin|saw|smoke|he|called|911|to|report|a,slow,FALSE,strong CoRT,high cloze,4,no,trial,0.91,block_baldwin,4,1.414213562,10,easy
36,Napa|Valley|in|California|is|known|for|making,wine,TRUE,strong non-CoRT,high cloze,4,no,trial,0.94,peele,1.6,0.894427191,8,easy
37,"Instead|of|a|purebred|dog,|John|chose|a",mutt,TRUE,strong non-CoRT,high cloze,4,no,trial,0.89,peele,2,1.732050808,8,easy
38,Many|brunettes|like|to|dye|their|hair,collapsed,FALSE,strong non-CoRT,high cloze,4,no,trial,0.86,block_baldwin,1.857142857,0.8997354108,7,easy
39,When|she|was|only|twenty|years|old|she|found,love,TRUE,strong non-CoRT,low cloze,4,no,trial,0.41,peele,1.8,1.095445115,9,hard
40,"In|the|courtroom,|the|defendant|was|silenced|by|the",hope,FALSE,strong CoRT,high cloze,4,no,trial,0.85,peele,4,1,9,easy
41,Steven|had|been|raised|believing|that|lying|was|a,sin,TRUE,strong non-CoRT,high cloze,4,no,trial,0.91,peele,2,0.8164965809,9,easy
42,Joan|fed|her|baby|some|warm,milk,TRUE,strong CoRT,high cloze,4,no,trial,0.88,block_baldwin,4,1.414213562,6,easy
43,The|book|was|a|steal|at|such|a|low,price,TRUE,strong non-CoRT,high cloze,4,no,trial,0.89,block_baldwin,1.142857143,0.377964473,9,easy
44,The|baby|bird|was|ready|to|learn|to,roach,FALSE,strong non-CoRT,high cloze,4,no,trial,0.91,block_baldwin,2,0.5773502692,8,easy
45,The|dog|chased|our|cat|up|the,noise,FALSE,strong CoRT,low cloze,4,no,trial,0.43,block_baldwin,4.166666667,1.602081979,7,hard
46,"In|class,|Paula|took|out|her|notebook|and",wrote,TRUE,strong CoRT,low cloze,4,no,trial,0.42,peele,4.8,0.4472135955,8,hard
47,Don|didn't|tell|Carmen|secrets|because|she|liked|to,gossip,TRUE,strong non-CoRT,low cloze,4,no,trial,0.49,peele,1.75,0.9574271078,9,hard
48,"Ellen|enjoys|poetry,|painting,|and|other|forms|of",art,TRUE,strong non-CoRT,high cloze,4,no,trial,0.94,block_baldwin,1.285714286,0.4879500365,8,easy
49,The|woman|applied|concealer|with|a|gentle,walk,FALSE,strong CoRT,low cloze,4,no,trial,0.35,peele,4.8,0.4472135955,7,hard
50,"When|at|the|fair,|her|kids|always|have|great",times,TRUE,strong non-CoRT,low cloze,4,yes,trial,0.45,peele,1.75,0.5,9,hard
51,The|reckless|driver|drove|too|quickly|around|the,corner,TRUE,strong CoRT,low cloze,4,no,trial,0.42,peele,4.2,0.4472135955,8,hard
52,Paige|thought|the|color|of|the|wall|was|rather,dull,TRUE,strong non-CoRT,low cloze,4,no,trial,0.34,peele,1.8,0.8366600265,9,hard
53,Daniel|was|upset|that|his|basketball|team|didn't,win,TRUE,strong non-CoRT,high cloze,4,no,trial,0.91,peele,2,0.7071067812,8,easy
54,"After|hitting|the|iceberg,|the|ship|began|to",sink,TRUE,strong CoRT,high cloze,4,no,trial,0.96,block_baldwin,4,1.154700538,8,easy
55,"After|his|divorce,|my|neighbor|was|a|lonely",man,TRUE,strong non-CoRT,low cloze,4,yes,trial,0.46,peele,2,1.224744871,8,hard
56,Paulina|gave|the|huge|lollipop|a|big,lick,TRUE,strong CoRT,high cloze,4,no,trial,0.88,peele,4,1.154700538,7,easy
57,Wade|spotted|the|incoming|ball|and|was|able|to,duck,TRUE,strong CoRT,low cloze,4,no,trial,0.36,peele,4.5,0.5773502692,9,hard
58,Our|walk|was|illuminated|by|the|light|of|the,moon,TRUE,strong non-CoRT,high cloze,4,no,trial,0.84,peele,2,1.414213562,9,easy
59,Greg|clutched|his|queasy|stomach|and|began|to,vomit,TRUE,strong CoRT,low cloze,4,no,trial,0.47,peele,4.75,0.5,8,hard
60,"After|speaking,|Allen|left|the|noisy",room,TRUE,strong CoRT,high cloze,4,no,trial,0.81,block_baldwin,4.142857143,0.6900655593,6,easy
61,Suzy|saw|a|sign|that|said|babysitter|for,hire,TRUE,strong non-CoRT,high cloze,4,no,trial,0.88,peele,1.75,1.5,8,easy
62,"Exiting|the|pool,|the|children|were|so|cold|they",shivered,TRUE,strong CoRT,high cloze,4,no,trial,0.87,peele,4.4,0.5477225575,9,easy
63,Incredibly|poor|food|service|is|my|pet,peeve,TRUE,strong non-CoRT,high cloze,4,no,trial,0.96,peele,1.4,0.894427191,7,easy
64,,,,,,,,break,,,,,,
0,She|graduated|at|the|top|of|her,shelf,FALSE,strong non-CoRT,high cloze,5,no,trial,0.95,block_baldwin,1.571428571,0.7867957925,7,easy
1,The|farmer|ran|out|of|bacon|and|slaughtered|the,funeral,FALSE,strong CoRT,high cloze,5,no,trial,0.88,peele,4,0.8164965809,9,easy
2,Jake|hated|the|game|and|thought|it|wasn't,fair,TRUE,strong non-CoRT,low cloze,5,yes,trial,0.44,peele,1.4,0.5477225575,9,hard
3,Alexander|just|knew|that|he|would|win|the|big,prize,TRUE,strong non-CoRT,low cloze,5,no,trial,0.32,peele,1.6,0.5477225575,9,hard
4,The|young|man|quickly|pulled|the|sword|from|the,sheath,TRUE,strong CoRT,low cloze,5,no,trial,0.39,peele,4.5,1,9,hard
5,The|cardinals|wondered|which|of|them|would|become|the,stamp,FALSE,strong non-CoRT,low cloze,5,no,trial,0.5,peele,1.5,0.5773502692,9,hard
6,The|shape|of|the|woman’s|crystal|ball|was,round,TRUE,strong non-CoRT,high cloze,5,no,trial,0.82,block_baldwin,1.428571429,1.133893419,8,easy
7,The|excited|crowd|of|people|quickly|formed|a,failure,FALSE,strong CoRT,low cloze,5,no,trial,0.35,peele,4,0,8,hard
8,Not|even|the|cast|liked|the,bone,FALSE,strong non-CoRT,low cloze,5,no,trial,0.36,block_baldwin,1.833333333,1.602081979,6,hard
9,His|boss|refused|to|give|him|a,teeth,FALSE,strong non-CoRT,high cloze,5,no,trial,0.87,block_baldwin,1.857142857,0.6900655593,7,easy
10,She|preheated|the|oven|and|greased|the,pan,TRUE,strong CoRT,high cloze,5,no,trial,0.9,block_baldwin,4.285714286,1.496026483,7,easy
11,"Hearing|noises|from|above,|the|confused|man|inspected|the",attic,TRUE,strong CoRT,low cloze,5,no,trial,0.32,peele,4.5,0.8366600265,9,hard
12,The|doctor’s|suitcase|was|worn|and|obviously|very,old,TRUE,strong non-CoRT,high cloze,5,no,trial,0.89,block_baldwin,1.714285714,1.496026483,8,easy
13,"Over|the|summer,|the|boys|went|swimming|in|the",lake,TRUE,strong CoRT,low cloze,5,yes,trial,0.5,peele,4.4,0.5477225575,9,hard
14,Yolanda|took|the|wet|clothes|outside|to,bank,FALSE,strong CoRT,high cloze,5,no,trial,0.92,peele,4,0.632455532,7,easy
15,John|swept|the|floor|with|a,broom,TRUE,strong CoRT,high cloze,5,no,trial,0.9,block_baldwin,4.142857143,1.573591585,6,easy
16,She|washed|the|dirty|dishes|in|the,sink,TRUE,strong CoRT,high cloze,5,no,trial,0.92,block_baldwin,4,1.414213562,7,easy
17,Some|people|don't|enjoy|food|and|only|eat|to,pan,FALSE,strong non-CoRT,low cloze,5,no,trial,0.38,peele,1.75,0.5,9,hard
18,"As|a|clumsy|toddler,|Serena|often|spilled|her",milk,TRUE,strong CoRT,low cloze,5,yes,trial,0.34,peele,4.2,0.8366600265,7,hard
19,Jim|convinced|her|that|it|was|a|bad|prank|to,pull,TRUE,strong non-CoRT,low cloze,5,no,trial,0.43,peele,1.75,0.5,10,hard
20,Everyone|ran|from|the|man|like|he|was|a,monster,TRUE,strong CoRT,low cloze,5,no,trial,0.31,peele,4.8,0.4472135955,9,hard
21,That|boy|is|always|saying|he'll|someday|be,famous,TRUE,strong non-CoRT,low cloze,5,no,trial,0.31,peele,2,1.732050808,8,hard
22,Surfers|are|scared|of|getting|bitten|by|a,meal,FALSE,strong non-CoRT,high cloze,5,no,trial,0.92,block_baldwin,2,1,8,easy
23,All|the|gym|trainers|were|in|great|shape|and,home,FALSE,strong non-CoRT,low cloze,5,no,trial,0.36,peele,2,1.414213562,9,hard
24,"Tired|from|studying,|Dan|crumpled|his|papers|into|a",ball,TRUE,strong CoRT,high cloze,5,no,trial,0.8,peele,4,0.7071067812,9,easy
25,April|ran|her|errands|during|her|lunch,gin,FALSE,strong CoRT,high cloze,5,no,trial,0.86,block_baldwin,4,0.8164965809,7,easy
26,The|British|businessman|was|the|wealthiest|in|the|whole,country,TRUE,strong non-CoRT,low cloze,5,no,trial,0.36,peele,1,0,9,hard
27,The|convenience|store|was|robbed|by|a|small,face,FALSE,strong CoRT,low cloze,5,no,trial,0.37,peele,4,0,8,hard
28,The|librarian|sternly|told|us|to|be,quiet,TRUE,strong CoRT,high cloze,5,no,trial,0.8,block_baldwin,4,0.5773502692,7,easy
29,Nicola|walked|towards|the|lake|till|she|hit|the,push,FALSE,strong CoRT,low cloze,5,no,trial,0.44,peele,4,1.414213562,9,hard
30,Mary|was|upset|when|she|spilled|coffee|on|her|favorite,blouse,TRUE,strong CoRT,low cloze,5,yes,trial,0.35,peele,4.75,0.5,10,hard
31,The|body|builder's|arm|muscles|were|extremely,water,FALSE,strong non-CoRT,low cloze,5,no,trial,0.4,peele,1.6,0.5477225575,7,hard
32,The|maid|dusted|the|books|on|the,shelf,TRUE,strong CoRT,high cloze,5,no,trial,0.93,block_baldwin,4.142857143,1.573591585,7,easy
33,Being|a|father|and|a|businessman|made|his|role,difficult,TRUE,strong non-CoRT,low cloze,5,no,trial,0.31,peele,1,0,9,hard
34,The|boys|ran|to|the|car|carrying|their,bags,TRUE,strong CoRT,low cloze,5,no,trial,0.34,peele,4,1.154700538,8,hard
35,"After|saying|goodbye,|Tim|gave|his|wife|a|quick",hill,FALSE,strong CoRT,high cloze,5,no,trial,0.84,peele,4.75,0.5,9,easy
36,Lily|had|disliked|him|from|the|moment|they,met,TRUE,strong non-CoRT,high cloze,5,no,trial,0.99,peele,1.75,0.9574271078,8,easy
37,The|man|liked|to|play|his|music|too,loud,TRUE,strong non-CoRT,high cloze,5,no,trial,0.84,block_baldwin,2,1,8,easy
38,A|Dalmatian|dog|is|recognized|by|its|black|and|white,fate,FALSE,strong non-CoRT,high cloze,5,no,trial,0.84,block_baldwin,1.166666667,0.4082482905,10,easy
39,The|potatoes|were|seasoned|with|flakes|of|rosemary|and,thyme,TRUE,strong non-CoRT,low cloze,5,no,trial,0.35,peele,2,1.414213562,9,hard
40,The|infant|cried|when|she|got|stung|by|a,doubts,FALSE,strong CoRT,high cloze,5,no,trial,0.9,peele,4.2,1.303840481,9,easy
41,Sam|does|not|like|desserts|that|are|too,sweet,TRUE,strong non-CoRT,high cloze,5,no,trial,0.86,peele,1,0,8,easy
42,Elle|got|behind|the|stalled|car|and|began|to,push,TRUE,strong CoRT,high cloze,5,no,trial,0.87,peele,4.5,0.5773502692,9,easy
43,The|academic|year|began|in|the,fall,TRUE,strong non-CoRT,high cloze,5,no,trial,0.82,block_baldwin,1.428571429,1.133893419,6,easy
44,The|directions|did|not|match|any|roads|on|the,bill,FALSE,strong non-CoRT,high cloze,5,no,trial,0.85,block_baldwin,1.428571429,0.5345224838,9,easy
45,The|boxer|knocked|out|his|opponent|with|a|sudden,fan,FALSE,strong CoRT,low cloze,5,no,trial,0.48,peele,4.4,1.341640786,9,hard
46,They|were|startled|by|the|sudden,noise,TRUE,strong CoRT,low cloze,5,no,trial,0.5,block_baldwin,4,1.095445115,6,hard
47,Barry|said|that|accounting|work|was|no,fun,TRUE,strong non-CoRT,low cloze,5,no,trial,0.35,peele,1.4,0.5477225575,7,hard
48,A|gas|lamp|is|always|a|good|source|of,light,TRUE,strong non-CoRT,high cloze,5,no,trial,0.89,peele,1.75,0.9574271078,9,easy
49,The|hungry|owl|searched|the|field|for|its,color,FALSE,strong CoRT,low cloze,5,no,trial,0.47,block_baldwin,4,1.095445115,8,hard
50,He|wondered|whether|it|was|coincidence|or,fate,TRUE,strong non-CoRT,low cloze,5,no,trial,0.49,block_baldwin,1.833333333,1.329160136,7,hard
51,The|farmer|collected|wood|to|build|a|new,barn,TRUE,strong CoRT,low cloze,5,no,trial,0.32,peele,4,1,8,hard
52,Drake|didn't|like|barbecued|meat|because|of|the,taste,TRUE,strong non-CoRT,low cloze,5,yes,trial,0.37,peele,1.75,0.5,8,hard
53,He|liked|lemon|and|sugar|in|his,tea,TRUE,strong non-CoRT,high cloze,5,no,trial,0.81,block_baldwin,1.428571429,0.7867957925,7,easy
54,A|nearby|woman|sprayed|the|robber|with,mace,TRUE,strong CoRT,high cloze,5,no,trial,0.8,peele,4,0.7071067812,7,easy
55,Jeff|felt|like|he|would|never|finish|at|that,pace,TRUE,strong non-CoRT,low cloze,5,no,trial,0.45,peele,1.333333333,0.5163977795,9,hard
56,"After|weeks|at|sea,|the|bottle|washed|up|onto",shore,TRUE,strong CoRT,high cloze,5,no,trial,0.83,peele,4,0.8164965809,9,easy
57,Karen|shrieked|when|she|discovered|the|dead,mouse,TRUE,strong CoRT,low cloze,5,no,trial,0.36,peele,4.4,0.5477225575,7,hard
58,The|expensive|tie|was|made|of,silk,TRUE,strong non-CoRT,high cloze,5,no,trial,0.89,block_baldwin,1,0,6,easy
59,Grandmother|baked|a|pie|and|set|it|on|the,counter,TRUE,strong CoRT,low cloze,5,no,trial,0.34,peele,4.4,0.894427191,9,hard
60,Delia|needed|her|keys|and|rummaged|around|in|her,purse,TRUE,strong CoRT,high cloze,5,no,trial,0.8,peele,4,1.414213562,9,easy
61,The|store|employees|knew|it|was|illegal|to,steal,TRUE,strong non-CoRT,high cloze,5,no,trial,0.87,block_baldwin,1.714285714,1.496026483,8,easy
62,The|fisherman|trapped|hundreds|of|sharks|in|their,nets,TRUE,strong CoRT,high cloze,5,no,trial,0.82,peele,4,0.8164965809,8,easy
63,The|necklaces|were|what|the|thief|intended|to,steal,TRUE,strong non-CoRT,high cloze,5,no,trial,0.83,peele,2,0.7071067812,8,easy
64,,,,,,,,end,,,,,,